,sentence,outlet,topic,type,group_id,num_sent,Label_bias,Label_opinion,biased_words,outliers,tokenized_sentence
0,YouTube is making clear there will be no “birtherism” on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.,usa-today,elections-2020,center,1,1,Biased,Somewhat factual but also opinionated,"['belated', 'birtherism']","{'platform', 'belated', 'youtube', 'conspiracy'}","['youtube', 'is', 'making', 'clear', 'there', 'will', 'be', 'no', '“birtherism”', 'on', 'its', 'platform', 'during', 'this', 'year’s', 'u.s.', 'presidential', 'election', '–', 'a', 'belated', 'response', 'to', 'a', 'type', 'of', 'conspiracy', 'theory', 'more', 'prevalent', 'in', 'the', '2012', 'race.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
1,The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.,msnbc,sport,left,1,1,Non-biased,Entirely factual,"['bitter', 'spilled']","{'soccer', 'bitter', 'american', 'spilled', 'jerseys', 'outin', 'wednesday', 'warm-up', 'federation'}","['the', 'increasingly', 'bitter', 'dispute', 'between', 'american', 'women’s', 'national', 'soccer', 'team', 'and', 'the', 'u.s.', 'soccer', 'federation', 'spilled', 'onto', 'the', 'field', 'wednesday', 'night', 'when', 'players', 'wore', 'their', 'warm-up', 'jerseys', 'inside', 'outin', 'a', 'protest', 'before', 'their', '3-1', 'victory', 'over', 'japan.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
2,"So while there may be a humanitarian crisis driving more vulnerable people to seek asylum in the United States, there is no security crisis.",alternet,immigration,left,1,1,Biased,Expresses writer’s opinion,"['crisis', 'no']","{'humanitarian', 'asylum'}","['so', 'while', 'there', 'may', 'be', 'a', 'humanitarian', 'crisis', 'driving', 'more', 'vulnerable', 'people', 'to', 'seek', 'asylum', 'in', 'the', 'united', 'states,', 'there', 'is', 'no', 'security', 'crisis.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
3,"A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.",breitbart,environment,right,1,1,Non-biased,No agreement,['legitimate'],"{'future.', 'teaches', 'professor', 'classes'}","['a', 'professor', 'who', 'teaches', 'climate', 'change', 'classes', '—', 'a', 'subject', 'some', 'would', 'question', 'as', 'a', 'legitimate', 'area', 'of', 'study', '—', 'said', 'she', 'has', 'seen', 'students', 'who', 'suffer', 'fear,', 'grief,', 'stress,', 'and', 'anxiety', 'about', 'the', 'future.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
4,"Looking around the United States, there is never enough welfare for the left to stop killing developing humans in utero—solidly Democratic states lead the nation in abortion rates. ",federalist,abortion,right,1,1,Biased,Somewhat factual but also opinionated,"['killing', 'never', 'developing', 'humans', 'enough']",{'rates.'},"['looking', 'around', 'the', 'united', 'states,', 'there', 'is', 'never', 'enough', 'welfare', 'for', 'the', 'left', 'to', 'stop', 'killing', 'developing', 'humans', 'in', 'utero—solidly', 'democratic', 'states', 'lead', 'the', 'nation', 'in', 'abortion', 'rates.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
5,The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).,reuters,sport,center,1,1,Non-biased,Entirely factual,[],"{'anti-doping', 'russian', 'tuesday', 'sanctions', 'laboratory', 'year-end', 'doping', 'deadline'}","['the', 'world', 'anti-doping', 'agency', 'on', 'tuesday', 'said', 'that', 'russian', 'authorities', 'had', 'failed', 'to', 'provide', 'access', 'to', 'laboratory', 'doping', 'data', 'by', 'their', 'year-end', 'deadline', 'and', 'it', 'will', 'consider', 'sanctions', 'against', 'the', 'russian', 'anti-doping', 'agency', '(rusada).', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
6,The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. ,msnbc,environment,left,1,1,Biased,Expresses writer’s opinion,"['rejects', 'happy', 'assumed']","{'trade-off', 'republican', 'rejects', 'trump', 'anyway.'}","['the', 'republican', 'president', 'assumed', 'he', 'was', 'helping', 'the', 'industry', 'at', 'the', 'expense', 'of', 'the', 'environment', '–', 'a', 'trade-off', 'trump', 'was', 'happy', 'to', 'make', 'since', 'he', 'rejects', 'climate', 'science', 'anyway.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
7,The explosion of the Hispanic population has long-term job prospect consequences as well: Both legal and illegal aliens will occupy 75 percent of new American jobs in as little as five years.,breitbart,student-debt,right,1,1,Biased,No agreement,['explosion'],"{'explosion', 'american', 'aliens', 'years.', 'hispanic'}","['the', 'explosion', 'of', 'the', 'hispanic', 'population', 'has', 'long-term', 'job', 'prospect', 'consequences', 'as', 'well:', 'both', 'legal', 'and', 'illegal', 'aliens', 'will', 'occupy', '75', 'percent', 'of', 'new', 'american', 'jobs', 'in', 'as', 'little', 'as', 'five', 'years.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
8,"The anti-vaccine movement made headlines last spring, when widespread distrust of the pharmaceutical industry and the belief that vaccines can lead to autism in children led to a measles outbreak. ",usa-today,vaccines,center,1,1,Biased,Somewhat factual but also opinionated,['distrust'],"{'pharmaceutical', 'measles', 'distrust', 'headlines', 'anti-vaccine', 'vaccines', 'autism'}","['the', 'anti-vaccine', 'movement', 'made', 'headlines', 'last', 'spring,', 'when', 'widespread', 'distrust', 'of', 'the', 'pharmaceutical', 'industry', 'and', 'the', 'belief', 'that', 'vaccines', 'can', 'lead', 'to', 'autism', 'in', 'children', 'led', 'to', 'a', 'measles', 'outbreak.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
9,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. ,usa-today,abortion,center,1,1,Non-biased,Entirely factual,['abortion'],"{'fetal', 'indiana', 'suburban', 'chicago', 'garage', 'wednesday'}","['thousands', 'of', 'fetal', 'remains', 'that', 'were', 'found', 'at', 'an', 'abortion', ""doctor's"", 'suburban', 'chicago', 'garage', 'last', 'year', 'were', 'buried', 'wednesday', 'at', 'an', 'indiana', 'cemetery.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
